,item_name,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
0,Micro Brewed Cream Soda,Gluten Free Peanut Butter Dark Chocolate Chewy With a Crunch Granola Bars,Provolone,Organic Spaghetti Pasta,Organic Shredded Mozzarella,Organic Raspberry Lowfat Yogurt
1,Mexican Blend Cheese,"Dressing & Marinade, Toasted Sesame","Kitchen Cleaner + Bleach, Fresh Scent",Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes,Frozen Organic Strawberries,Paper Towels
2,Paper Towels,"Dressing & Marinade, Toasted Sesame",NA,NA,NA,NA
3,"Matzos, Thin, Tea","Just Crisp, Parmesan",Sensitive Toilet Paper,"Natural Artesian Water, Mini & Mobile",Fresh Fruit Salad,2% Reduced Fat Milk
4,Macaroni And Cheese,"Just Crisp, Parmesan",Sensitive Toilet Paper,"Natural Artesian Water, Mini & Mobile",Fresh Fruit Salad,"Matzos, Thin, Tea"
5,Fresh Fruit Salad,"Just Crisp, Parmesan",Bag of Organic Bananas,NA,NA,NA
6,Sensitive Toilet Paper,"Just Crisp, Parmesan",Fresh Fruit Salad,2% Reduced Fat Milk,Organic Raspberries,Bag of Organic Bananas
7,"Natural Artesian Water, Mini & Mobile","Just Crisp, Parmesan",Sensitive Toilet Paper,Fresh Fruit Salad,2% Reduced Fat Milk,Organic Raspberries
8,Frozen Organic Strawberries,Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes,"Kitchen Cleaner + Bleach, Fresh Scent","Dressing & Marinade, Toasted Sesame",Paper Towels,Organic Unsalted Butter
9,Organic Low Sodium Chunky Tomato Bisque Soup,"Kitchen Cleaner + Bleach, Fresh Scent",Frozen Organic Strawberries,Mexican Blend Cheese,Traditional Hearty Chicken and Rotini Soup,Rich & Hearty Chicken & Homestyle Noodles Soup
10,Traditional Hearty Chicken and Rotini Soup,"Dressing & Marinade, Toasted Sesame",Paper Towels,"Kitchen Cleaner + Bleach, Fresh Scent",Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes,Frozen Organic Strawberries
11,"Kitchen Cleaner + Bleach, Fresh Scent","Dressing & Marinade, Toasted Sesame",Paper Towels,Organic Unsalted Butter,Original Orange Juice,NA
12,Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes,"Dressing & Marinade, Toasted Sesame",Paper Towels,"Kitchen Cleaner + Bleach, Fresh Scent",Organic Unsalted Butter,Original Orange Juice
13,Spinach Pizza,Raisin Bran Cereal,Original Orange Juice,NA,NA,NA
14,Organic Frosted Blueberry Toaster Pastries,Raisin Bran Cereal,Spinach Pizza,Roasted Turkey Breast,Original Orange Juice,NA
15,Organic Marinara Pasta Sauce,Dark Chocolate Chips,Organic Low Sodium Vegetable Broth,Organic Eggplant,Firm Tofu,Organic No Salt Added Diced Tomatoes
16,Teriyaki Veggie Burgers,Dark Chocolate Chips,Organic Eggplant,Organic Mango Chunks,3 lb Clementines,Pasta Joy Ready Organic Brown Rice Pasta Penne
17,3 lb Clementines,Dark Chocolate Chips,Organic Eggplant,Pasta Joy Ready Organic Brown Rice Pasta Penne,Organic Bunch Beets,Organic Marinara Pasta Sauce
18,Organic Low Sodium Vegetable Broth,Dark Chocolate Chips,Roasted Red Pepper Hummus,Lemon Hummus,Low Fat Vanilla Yogurt,Bag of Organic Bananas
19,High Pulp Orange Juice,Thick & Crispy Tortilla Chips,Prosciutto,Maple Glazed Honey Ham,Plain Greek Yogurt,Cherry Garcia Ice Cream
20,Organic Large Brown Eggs,Rosemary Truffle Gourmet Popcorn,Raisin Bran Cereal,Spinach Pizza,Organic Frosted Blueberry Toaster Pastries,Organic Cinnamon Crunch Cereal
21,Rosemary Truffle Gourmet Popcorn,Raisin Bran Cereal,Spinach Pizza,Organic Frosted Blueberry Toaster Pastries,Roasted Turkey Breast,Original Orange Juice
22,Organic Red Potato,Raisin Bran Cereal,Spinach Pizza,Organic Frosted Blueberry Toaster Pastries,Rosemary Truffle Gourmet Popcorn,Organic Large Brown Eggs
23,Prosciutto,Maple Glazed Honey Ham,Plain Greek Yogurt,Cherry Garcia Ice Cream,Organic Grade A Large Brown Eggs,Bag of Organic Bananas
24,Thick & Crispy Tortilla Chips,Maple Glazed Honey Ham,Prosciutto,Plain Greek Yogurt,Cherry Garcia Ice Cream,Organic Grade A Large Brown Eggs
25,SleepGels Nighttime Sleep Aid,Traditional Hearty Chicken and Rotini Soup,Fresh Donuts,Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes,"Kitchen Cleaner + Bleach, Fresh Scent",Paper Towels
26,Maxi pads Overnight With Flexi-Wings,"Dressing & Marinade, Toasted Sesame",Organic Low Sodium Chunky Tomato Bisque Soup,Fresh Donuts,Clean Care Bath Tissue Rolls,Paper Towels
27,Clean Care Bath Tissue Rolls,Fresh Donuts,"Dressing & Marinade, Toasted Sesame",Paper Towels,"Kitchen Cleaner + Bleach, Fresh Scent",Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes
28,Harvest Cheddar Multigrain Chips,Fresh Donuts,Mexican Blend Cheese,Organic Light in Sodium Lentil Vegetable Soup,Organic Blend Me Mixed Vegetables,Organic Low Sodium Chunky Tomato Bisque Soup
29,Fresh Donuts,Organic Light in Sodium Lentil Vegetable Soup,Organic Blend Me Mixed Vegetables,Organic Low Sodium Chunky Tomato Bisque Soup,Rich & Hearty Chicken & Homestyle Noodles Soup,Traditional Hearty Chicken and Rotini Soup
30,Organic Blend Me Mixed Vegetables,"Dressing & Marinade, Toasted Sesame",Paper Towels,"Kitchen Cleaner + Bleach, Fresh Scent",Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes,Frozen Organic Strawberries
31,Rich & Hearty Chicken & Homestyle Noodles Soup,"Dressing & Marinade, Toasted Sesame",Paper Towels,"Kitchen Cleaner + Bleach, Fresh Scent",Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes,Frozen Organic Strawberries
32,Organic Light in Sodium Lentil Vegetable Soup,Rich & Hearty Chicken & Homestyle Noodles Soup,"Dressing & Marinade, Toasted Sesame",Paper Towels,"Kitchen Cleaner + Bleach, Fresh Scent",Frappuccino Vanilla Chilled Coffee Drink Coffee Substitutes
33,Pasta Joy Ready Organic Brown Rice Pasta Penne,Dark Chocolate Chips,Organic Eggplant,Organic Bunch Beets,Organic Marinara Pasta Sauce,Organic Low Sodium Vegetable Broth
34,Traditional Snack Mix,Oats & Chocolate Chewy Bars,Plain Pre-Sliced Bagels,Honey/Lemon Cough Drops,Kellogg's Nutri-Grain Apple Cinnamon Cereal,Nutri-Grain Soft Baked Strawberry Cereal Breakfast Bars
35,Sugarfree Energy Drink,Oats & Chocolate Chewy Bars,Chewy 25% Low Sugar Chocolate Chip Granola,Plain Pre-Sliced Bagels,Honey/Lemon Cough Drops,Kellogg's Nutri-Grain Apple Cinnamon Cereal
