,item_name,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
0,Organic Cottage Cheese Blueberry Acai Chia,Organic Strawberry Chia Lowfat 2% Cottage Cheese,NA,NA,NA,NA
1,Grain Free Turkey Formula Cat Food,Grain Free Chicken Formula Cat Food,NA,NA,NA,NA
2,Apple Blueberry Fruit Yogurt Smoothie,Organic Fruit Yogurt Smoothie Mixed Berry,Organic Strawberry Banana Fruit Yogurt Smoothie,NA,NA,NA
3,"0% Greek, Blueberry on the Bottom Yogurt",Nonfat Strawberry With Fruit On The Bottom Greek Yogurt,NA,NA,NA,NA
4,Cranberry Pomegranate Sparkling Yerba Mate,Organic Grapefruit Ginger Sparkling Yerba Mate,NA,NA,NA,NA
5,"Baby Food Pouch - Butternut Squash, Carrot & Chickpea",Baby Food Pouch - Roasted Carrot Spinach & Beans,NA,NA,NA,NA
6,Unsweetened Whole Milk Blueberry Greek Yogurt,Unsweetened Whole Milk Mixed Berry Greek Yogurt,Unsweetened Whole Milk Strawberry Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,NA,NA
7,Chipotle Beef & Pork Realstick,Uncured Cracked Pepper Beef,NA,NA,NA,NA
8,Organic Whole Milk Washington Black Cherry Yogurt,Organic Mango Yogurt,NA,NA,NA,NA
9,Grain Free Turkey & Salmon Formula Cat Food,Grain Free Chicken Formula Cat Food,NA,NA,NA,NA
10,Unsweetened Pomegranate Essence Water,Raspberry Essence Water,Unsweetened Blackberry Water,Unsweetened Watermelon Water,NA,NA
11,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Gingered Pear Trilayer Yogurt,Banana,NA
12,"Mighty 4 Essential Tots Spinach, Kiwi, Barley & Greek Yogurt Nutrition Blend","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",NA,NA,NA
13,Unsweetened Whole Milk Strawberry Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Mixed Berry Greek Yogurt,Unsweetened Whole Milk Blueberry Greek Yogurt,Bag of Organic Bananas,NA
14,Nonfat Strawberry With Fruit On The Bottom Greek Yogurt,"0% Greek, Blueberry on the Bottom Yogurt",Banana,NA,NA,NA
15,Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Mixed Berry Greek Yogurt,Unsweetened Whole Milk Strawberry Yogurt,Unsweetened Whole Milk Blueberry Greek Yogurt,Bag of Organic Bananas,NA
16,Unsweetened Whole Milk Mixed Berry Greek Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Strawberry Yogurt,NA,NA,NA
17,Organic Stage 2 Winter Squash Baby Food Puree,Sweet Potatoes Stage 2,Organic Stage 2 Carrots Baby Food,NA,NA,NA
18,Plastic Spoons,Compostable Forks,NA,NA,NA,NA
19,Cream Top Peach on the Bottom Yogurt,Cream Top Blueberry Yogurt,Cream Top Strawberry on the Bottom Yogurt,NA,NA,NA
20,Organic Mango Yogurt,Organic Coconut Yogurt,NA,NA,NA,NA
21,Pear Kiwi & Kale Baby Food,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,Bag of Organic Bananas,NA,NA
22,Honest T Mango White Tea,Organic Peach Oo La Long Tea,NA,NA,NA,NA
23,"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,Bag of Organic Bananas,Organic Strawberries,Banana
24,Unsweet Peach Water,Unsweetened Strawberry Kiwi Water,Raspberry Essence Water,Unsweetened Blackberry Water,Unsweetened Watermelon Water,NA
25,Raspberry Essence Water,Unsweetened Blackberry Water,Unsweetened Watermelon Water,NA,NA,NA
26,Oh My Yog! Gingered Pear Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,NA,NA
27,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,Bag of Organic Bananas,Banana,NA,NA
28,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,Bag of Organic Bananas,Banana,NA
29,Cream Top Blueberry Yogurt,Cream Top Strawberry on the Bottom Yogurt,NA,NA,NA,NA
30,Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",Bag of Organic Bananas,NA,NA
31,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Gingered Pear Trilayer Yogurt,Banana,NA
32,"Water, Unsweet, Blood Orange",Unsweetened Blackberry Water,NA,NA,NA,NA
33,Sweet Potatoes Stage 2,Organic Stage 2 Carrots Baby Food,Bag of Organic Bananas,Banana,NA,NA
34,Organic Fruit Yogurt Smoothie Peach Banana,Organic Strawberry Banana Fruit Yogurt Smoothie,NA,NA,NA,NA
35,Organic Pear Mango Fruit Yogurt Smoothie,Organic Strawberry Banana Fruit Yogurt Smoothie,NA,NA,NA,NA
36,Unsweetened Strawberry Kiwi Water,Raspberry Essence Water,Unsweetened Watermelon Water,Unsweetened Blackberry Water,NA,NA
37,"Apples, Pumpkin & Carrots Organic Baby Food","Pears, Kale & Spinach Organic Baby Food","Apples, Kale & Avocados Organic Baby Food",Bag of Organic Bananas,Banana,NA
38,Dairy Free Coconut Milk Yogurt Alternative,Dairy Free Coconut Milk Blueberry Yogurt Alternative,Dairy Free Coconut Milk Raspberry Yogurt Alternative,NA,NA,NA
39,Oh My Yog! Madagascar Vanilla Trilayer Yogyurt,Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Gingered Pear Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,Banana,NA
40,French Vanilla Yogurt,Mediterranee Strawberry Yogurt,NA,NA,NA,NA
41,Organic Really Peely Bendy Berry Fruit Tape,Annie Peely Fruit 4.5 Z,NA,NA,NA,NA
42,Coffee Chocolate Bar,Coconut  Chocolate Bar,Chocolate Sea Salt,NA,NA,NA
43,Organic Blended Raspberry Whole Milk Greek Yogurt,Greek Whole Milk Blended Blueberry Yogurt,Organic Greek Whole Milk Blended Strawberry Yogurt,Whole Milk Greek Blended Vanilla Bean Yogurt,Bag of Organic Bananas,NA
44,Squash & Sweet Peas Stage 2,Pumpkin & Spinach Stage 2 Baby Food,Bag of Organic Bananas,Banana,NA,NA
45,"Water, Unsweet, Crisp Apple",Unsweetened Watermelon Water,NA,NA,NA,NA
46,Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",Pear Kiwi & Kale Baby Food,Organic Stage 4 Green Bean Pear & Pea Baby Food,Organic Whole Milk,Bag of Organic Bananas
47,"Pears, Kale & Spinach Organic Baby Food","Apples, Kale & Avocados Organic Baby Food",Bag of Organic Bananas,Banana,NA,NA
48,"Apples, Guavas & Beets Organic Baby Food","Apples, Kale & Avocados Organic Baby Food",Bag of Organic Bananas,NA,NA,NA
49,Dairy Free Coconut Milk Blueberry Yogurt Alternative,Dairy Free Coconut Milk Raspberry Yogurt Alternative,Dairy Free Coconut Milk Yogurt Alternative,Dairy Free Coconut Milk Vanilla Yogurt Alternative,Bag of Organic Bananas,Banana
50,Organic Fruit Yogurt Smoothie Mixed Berry,Organic Strawberry Banana Fruit Yogurt Smoothie,Banana,NA,NA,NA
51,Organic Stage 2 Carrots Baby Food,Sweet Potatoes Stage 2,Bag of Organic Bananas,Banana,NA,NA
52,Organic Sunflower Butter Chocolate Macrobar,Peanut Butter Chocolate Chip Macrobar,NA,NA,NA,NA
53,Builder's Chocolate Peanut Butter Bar,Chocolate Mint Builder's Bar,Banana,NA,NA,NA
54,Dairy Free Coconut Milk Raspberry Yogurt Alternative,Dairy Free Coconut Milk Blueberry Yogurt Alternative,Dairy Free Coconut Milk Vanilla Yogurt Alternative,Bag of Organic Bananas,Banana,NA
55,Greek Whole Milk Blended Blueberry Yogurt,Organic Blended Raspberry Whole Milk Greek Yogurt,Organic Greek Whole Milk Blended Strawberry Yogurt,Whole Milk Greek Blended Vanilla Bean Yogurt,Bag of Organic Bananas,NA
56,Peanut Butter Protein Replenishment Macrobar,Peanut Butter Chocolate Chip Macrobar,NA,NA,NA,NA
57,Coconut  Chocolate Bar,Chocolate Sea Salt,Peanut Butter Egg White Protein Bar,Bag of Organic Bananas,Banana,NA
58,Acai Berry Chia Bar,Coconut Chia Bar,Chocolate Peanut Butter,Bag of Organic Bananas,Banana,NA
